code,url,file ext,dominant colour,dominant colour name,closest name,dominant shade,top left pixel,top left pixel color,height,width,transparent
TSV12-15,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/tsv12_tn.jpg,jpg,"(215, 215, 215)",white,lightgrey,mostly black,"(0, 0, 0)",black,38,170,False
TSV14-11,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/tsv14-11_tn.jpg,jpg,"(19, 19, 21)",black,black,mostly black,"(0, 0, 0)",black,94,170,False
I28-140B,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/i28_tn.jpg,jpg,"(47, 60, 68)",black,darkslategrey,mostly white,"(17, 22, 26)",black,128,170,False
LS23-30,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/ls23-30_tn.jpg,jpg,"(179, 189, 205)",white,silver,mostly black,"(3, 1, 6)",black,170,73,False
H637-030,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/h637_tn.jpg,jpg,"(183, 184, 184)",white,silver,mostly black,"(1, 1, 1)",black,158,170,False
H662-060,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/evaporating-dish_tn.jpg,jpg,"(22, 22, 20)",black,black,mostly black,"(0, 0, 0)",black,73,170,False
L689,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l689_tn.jpg,jpg,"(11, 11, 12)",black,black,mostly black,"(0, 0, 0)",black,81,170,False
LB8025-4,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lb8_tn.jpg,jpg,"(151, 153, 156)",white,darkgrey,mostly black,"(1, 1, 1)",black,170,151,False
LC1656,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lc16_tn.jpg,jpg,"(14, 7, 6)",black,black,mostly black,"(1, 1, 1)",black,134,170,False
LSRG-250,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lsrg_tn.jpg,jpg,"(5, 5, 5)",black,black,mostly black,"(5, 5, 5)",black,49,170,False
LT2-03,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lt2_tn.jpg,jpg,"(179, 184, 189)",white,silver,mostly black,"(167, 168, 173)",white,129,170,False
MS08,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/ms_tn.jpg,jpg,"(6, 6, 6)",black,black,mostly black,"(1, 1, 1)",black,97,170,False
R650-04,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/r650_44f2d2dd-9f84-45cb-996c-f3b0ee14bade_tn.jpg,jpg,"(45, 45, 45)",black,darkslategrey,mostly black,"(0, 0, 0)",black,105,170,False
